"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1268996522","9787301323793,7301323794","「现代」与「未知」: 晚清科幻小说研究","飞氘, 1983- author","2021","chi","Book","PrintBook","Di 1 ban",3,"北京大学出版社","Beijing Shi","Science fiction, Chinese History and criticism,Chinese fiction Qing dynasty, 1644-1912 History and criticism,Roman chinois 1644-1912 (Dynastie des Qing) Histoire et critique,Chinese fiction,Qing Dynasty (China),Science fiction, Chinese,Criticism, interpretation, etc,1644-1912","","否"
"1111641003","9787301303115,7301303114","吴简与吴制 = Documents and institutions: a study of the Wu slips from Zoumalou = Wujian yu Wuzhi","凌文超, 1982- author","2019","chi","Book","PrintBook","Di 1 ban",3,"北京大學出版社","Beijing Shi","Inscriptions, Chinese China Changsha Shi History and criticism,Wooden tablets China Changsha Shi,Inscriptions chinoises Chine Changsha Histoire et critique,Tablettes en bois Chine Changsha,Zhu jian Yan jiu Chang sha San guo shi dai,Zheng zhi zhi du Yan jiu Chang sha San guo shi dai,Antiquities,Inscriptions, Chinese,Wooden tablets,Changsha Shi (China) Antiquities,China History Three kingdoms, 220-265,Chine Histoire 220-265 (Trois royaumes),China Changsha Shi,Criticism, interpretation, etc,Three kingdoms, 220-265 (China : Period),220-265","Ben shu yun yong jian du wen shu xue yan jiu fang fa, dui chang sha zou ma lou san guo wu jian zhong de shi lei bu shu jin xing le xi tong zheng li, tan tao le sun wu lin xiang hou guo wen shu xing zheng de liu cheng he qi suo fan ying de sun wu zhi du, wei ren shi sun wu xian ting de ri chang xing zheng yi ji wu zhi de li shi di wei kai qi le yi shan chuang kou","否"
"1080342814","9787301298442,7301298447","晚清民国时期南北官话语法差异研究 = WanQing Minguo shiqi nanbei guanhua yufa chayi yanjiu","翟贇, author","2018","chi","Book","PrintBook","Di 1 ban",3,"北京大學出版社","Beijing Shi","Mandarin dialects,Chinese language Grammar, Comparative,Chinese language Grammar,Chinois (Langue) Grammaire comparée,Chinois (Langue) Grammaire","翟贇著的""晚清民国时期南北官话语法差异研究(精)""基于大规模语料库, 利用本土和域外文献, 系统地比较晚清民国时期南北官话, 考察南北官话在语法方面存在的差异, 分析南北官话在转换, 交融时期的语言接触及区别特征的渗透情况, 进而观照现代汉语普通话对晚清南北官话的传承. 通过本书的研究, 不仅有助于揭示南北官话差异, 展示汉语语法在南北官话的历史传承中分化与融合的历史分布面貌, 还有利于深化对现代汉语的认识, 更好地解释现代汉语普通话中并存的语言现象. 此外, 区分南北官话的历史层次, 也为学界解决一些有争议的问题提供一个新的研究视角","否"
"1048448379","9787301294390,7301294395","1930年代的沪上文学风景 = 1930 niandai de Hushang wenxue fengjing","吴晓东, 1965- author","2018","chi","Book","PrintBook","Di 1 ban",3,"北京大学出版社","Beijing Shi","Chinese literature China Shanghai History and criticism,Chinese literature 20th century History and criticism,Littérature chinoise Chine Shanghai Histoire et critique,Littérature chinoise 20e siècle Histoire et critique,Di fang wen xue shi Xian dai wen xue shi Wen xue shi yan jiu Shang hai,Chinese literature,China Shanghai,Criticism, interpretation, etc,1900-1999","In Chinese field only,在中国现代文学发展史上, 1930年代文学是"" 五四"" 以来的第二个文学高峰, 无论在内容,形式以及创作方法等方面, 都有明显的变化和发展. 新民主主义革命时代的特色, 在创作上是一开始就有鲜明表现的. 不仅白话的形式本身是一个巨大的革命, 促使文学和人民群众大大接近了一步; 而且在作品内容上, 也具有不同于旧民主主义文学的崭新特点. 特别是沪上文学, 是这一时期的代表. 1930年代的上海充分表征了现代中国的现代性甚至未来性, 同时也呈现出"" 东方的巴黎"" ,"" 冒险家的乐园"" 等半殖民地的驳杂性. 海派文学也因此表现出前所未有的丰富性, 并突出体现为"" 文学生产与流通一体化"" 的文学图景. 本书涉及重要的作家作品, 及当时的重要资料, 全景式展示了沪上文学风景","否"
"1081091159","9787301300299,7301300298","词科与南宋文学 = The cike imperial examination and Southern Song literary culture = Cike yu nanSong wenxue","管琴, author","2018","chi","Book","PrintBook","Di 1 ban",3,"北京大学出版社","Beijing","Chinese literature Song dynasty, 960-1279 History and criticism,Civil service China Examinations,Littérature chinoise 960-1279 (Dynastie des Song) Histoire et critique,Fonction publique Chine Examens,Ke ju zhi du Guan xi Gu dian wen xue yan jiu Zhong guo Nan song,Chinese literature,Civil service,Song Dynasty (China),China Officials and employees Selection and appointment History,China,Criticism, interpretation, etc,Examinations,History,960-1279","Detailed summary in vernacular field,""词科与南宋文学""首次以词科为题, 考察宋代词科考试与南宋文学之间的关联. 全书分六章进行论述, 主要内容包括: 系统地梳理词科的源流与设置, 讨论"" 词学"" 的内涵及其在宋代发生的变化; 通过南宋各阶段掖垣文学的分析, 论述南宋词科入等人士的文学实践及词科与南宋骈文发展的内部关联; 从南宋中后期的"" 词科体"" "" 词科习气"" 等批评入手, 探讨这一时期文学批评的走向; 通过对王应麟""词学指南""的考察, 分析这样一部词学写作的集大成之作与南宋后期文章学观念的关系; 从文学的外部研究着眼, 厘清了宋代词学与理学的诸多问题, 等等. 本书力图通过研究词科制度与宋代文学之间各个层面的关联, 将南宋的文学形态与北宋的不同之处昭示出来, 从全新的角度, 描绘出南宋文学史暗潮涌动的真实图景","否"
"1280555076","9787301323878,7301323875","清末民初小说理论资料","陈平原","2021","chi","Book","PrintBook","Di 1 ban",2,"北京大学出版社","Beijing","Chinese fiction Qing dynasty, 1644-1912 History and criticism,Chinese fiction Qing dynasty, 1644-1912 Authorship,Chinese fiction Qing dynasty, 1644-1912 Technique,Roman chinois 1644-1912 (Dynastie des Qing) Histoire et critique,Roman chinois 1644-1912 (Dynastie des Qing) Technique,Xiao shuo li lun Zhong guo 1897-1916 Hui bian,Chinese fiction,Chinese fiction Technique,Qing Dynasty (China),Criticism, interpretation, etc,1644-1912","","否"
"1037631050","9787301292808,7301292805","无法终结的现代性 : 中国文学的当代境遇 = Wufa zhongjie de xiandaixing : Zhongguo wenxue de dangdai jingyu","陈晓明, 1959- author","2018","chi","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing","Chinese literature 20th century History and criticism,Chinese literature 21st century History and criticism,Littérature chinoise 20e siècle Histoire et critique,Littérature chinoise 21e siècle Histoire et critique,Chinese literature,Criticism, interpretation, etc,1900-2099","","否"
"1080426468","9787301299234,7301299230","视角与方法 : 中国文学史探索","蒋寅, 1959- author","2018","chi","Book","PrintBook","Di 1 ban",3,"北京大学出版社","Beijing Shi","Chinese literature History and criticism,Littérature chinoise Histoire et critique,Zhong guo wen xue Wen xue shi yan jiu,Chinese literature,Criticism, interpretation, etc","本书是作者在中国文学史研究领域的经验总结. 全书以三十一个个案为基础, 涉及文学史分期, 古典文学的精神史意义, 文学形态的理论体系, 文学生态, 文体演变, 文学接受, 文学艺术, 写作范式, 文学传承等方面, 以探寻文学史研究的视角和方法","否"
"1050364736","9787301295021,7301295022","进化, 革命与复仇 : ""政治鲁迅""的诞生 = Evolution, revolution and revenge : Lu Xun's political vision","钟诚, author","2018","chi","Book","PrintBook","Di 1 ban",3,"北京大学出版社","Beijing Shi","Lu, Xun, 1881-1936 Criticism and interpretation,Lu, Xun, 1881-1936,Politics and literature,Politique et littérature,Criticism, interpretation, etc","鲁学界一直有从"" 文学鲁迅"" 到"" 政治鲁迅"" 的研究呼吁, 但目前"" 政治鲁迅"" 研究多是基于文化政治的视野而展开, 缺少比较系统的,有深度的政治哲学的分析路径. 林毓生教授2006年来北大访问时我曾去拜访他, 他提及鲁迅政治观的独特性和复杂性, 值得深入研究, 这也是促成我后来的博士论文""鲁迅政治观研究""(北京大学, 2010年)产生的一个契机. 这次对原来的博士论文做了系统的修改","否"
"1057662232","9787301297230,7301297238","基于清后期至民国初期北京话文献语料的个案研究","陈晓 (Linguist), author","2018","chi","Book","PrintBook","Di 1 ban",3,"北京大學出版社","Beijing Shi","Mandarin dialects China Beijing History 19th century,Bei jing hua Jin dai Shi liao,Mandarin dialects,China Beijing,History,1800-1899","本书内容主要包括以下几个方面: 1, 概括评价了国内外学者对近代北京话的研究成果. 2, 对清后期至民初的诸多社会变化进行了介绍. 3, 对在此社会背景下出现的各种反映北京口语的文献进行了梳理介绍. 4, 对清后期民初的语法现象进行了梳理. 5, 对清后期以后产生的一些新副词进行了梳理. 6, 对清后期以来北京话的语音情况进行了梳理","否"
"1101560955","9787301302095,7301302096","诗人革命家 : 抗战时期的郭沫若 = Shiren gemingjia : kangzhan shiqi de Guo Moruo","刘奎, 1985- author","2019","chi","Book","PrintBook","Di 1 ban",1,"北京大学出版社","Beijing Shi","Guo, Moruo, 1892-1978 Criticism and interpretation,Guo, Moruo, 1892-1978,Criticism, interpretation, etc","","否"
